COMPONENT;KEY;EN;NL;FR
DEF;Beta van het aandelenvermogen;Equity beta;Beta van het aandelenvermogen;
DEF;Beta vreemd vermogen;Debt beta;Beta vreemd vermogen;
DEF;Betaald aan handelscrediteuren;Paid to accounts payable-trade;Betaald aan handelscrediteuren;
DEF;Betaald i.v.m. investeringen;Investments paid;Betaald i.v.m. investeringen;
DEF;Betaalde belasting;Taxes paid;Betaalde belasting;
DEF;Betaalde BTW op inkopen;Paid VAT On Purchases;Betaalde btw op inkopen;
DEF;Betaalde overige kosten;Paid other expenses;Betaalde overige kosten;
DEF;Betaalde personeelskosten;Wages paid;Betaalde personeelskosten;
DEF;Betaalde rente en aflossingen;Paid interest and repayments;Betaalde rente en aflossingen;
DEF;Betaalde rente;Paid interest;Betaalde rente;
DEF;Betaalgedrag;Paying behaviour;Betaalgedrag;
DEF;Betaalschema lonen %;Payments schedule wages %;Betaalschema lonen %;
DEF;Betaalschema lonen;Payments schedule wages;Betaalschema lonen;
DEF;Betaling inkoopkosten (;Payments cost of sales (;Betaling inkoopkosten (;
DEF;Betaling inkoopkosten inclusief BTW;Payments cost of sales including VAT;Betaling inkoopkosten inclusief btw;
DEF;Betaling inkoopkosten;Payments cost of sales;Betaling inkoopkosten;
DEF;Betaling investeringen;Investment payments;Betaling investeringen;
DEF;Betaling rente en aflossing (in prognose) per;Interest payments and repayments (in forecast) each;Betaling rente en aflossing (in prognose) per;
DEF;Betaling rente en aflossing per;Payment interest and repayment as of;Betaling rente en aflossing per;
DEF;Betaling rente lang;Payment of long term interest;Betaling rente lang;
DEF;Betaling rente per;Payment of interest per;Betaling rente per;
DEF;Betaling rente;Payment interest;Betaling rente;
DEF;Betaling winstuitkering;Profit payments;Betaling winstuitkering;
DEF;Betalingen aan leveranciers;Payments to suppliers;Betalingen aan leveranciers;
DEF;Betalingen aan participanten;Payments to shareholders;Betalingen aan participanten;
DEF;Betalingen;Payments;Betalingen;
DEF;Betalingsachterstand;Overdue payments;Betalingsachterstand;
DEF;Betalingstermijn bedrijfskosten;Outstanding payment operating expenses;Betalingstermijn bedrijfskosten;
DEF;Betreft alleen niet-geactiveerde gekochte goodwill verbonden aan aandelen transacties. Dit wordt terug geboekt in het geïnvesteerd vermogen. Indien u dit niet wenst is het alternatief om de post Mutaties buiten resultaat te gebruiken;Concerns only non-capitalized goodwill associated with share transactions. This amount is recharged to invested capital. If this is not intended then use the entry Changes outside result.;Betreft alleen niet-geactiveerde gekochte goodwill verbonden aan aandelen transacties. Dit wordt terug geboekt in het geïnvesteerd vermogen. Indien u dit niet wenst is het alternatief om de post Mutaties buiten resultaat te gebruiken;
DEF;Betreft alleen niet-geactiveerde gekochte goodwill verbonden aan aandelen transacties|Dit wordt terug geboekt in het geïnvesteerd vermogen|Indien u dit niet wenst is het alternatief om de post Mutaties buiten resultaat te gebruiken;Concerns not-activated purchased goodwill related to shares transactions only.|This will be booked back into the invested capital.|If this is not desired the account Changes outside result can be used as an alternative.;Betreft alleen niet-geactiveerde gekochte goodwill verbonden aan aandelen transacties|Dit wordt terug geboekt in het geïnvesteerd vermogen|Indien u dit niet wenst is het alternatief om de post Mutaties buiten resultaat te gebruiken;
DEF;Betreft;Type of proposal;Betreft;
DEF;Beursgenoteerd;Quoted company;Beursgenoteerd;
DEF;Beurskoers;Share price;Beurskoers;
DEF;Beurskosten;Costs of trade fairs;Beurskosten;
DEF;Beurswaarde;Market value shares;Beurswaarde;
DEF;Bevoorschottingsnorm;Advance payments norm;Bevoorschottingsnorm;
DEF;Bewindvoerderskengetal Aantal weken dat bedrijf door kan gaan zonder activiteiten;Number of weeks that company can carry on without employing any activities;Bewindvoerderskengetal Aantal weken dat bedrijf door kan gaan zonder activiteiten;
DEF;Bewindvoerderskengetal|Aantal weken dat bedrijf door kan gaan zonder aktiviteiten;Receivers ratio|Number of weeks that the company can go on without activities;Bewindvoerderskengetal|Aantal weken dat bedrijf door kan gaan zonder aktiviteiten;
DEF;Bezittingen excl. bedrijf;Property excluding business;Bezittingen excl. bedrijf;
DEF;Bezittingen ondernemer;Private assets entrepreneur;Bezittingen ondernemer;
DEF;Bezittingen;Properties;Bezittingen;
DEF;Bietenquotum (in kg.);Beet quota (in kg);Bietenquotum (in kg.);
DEF;bij de bank;our Bank;bij de bank;
DEF;Bij disconteringsmethodes:;For discounting methods:;Bij disconteringsmethodes:;
DEF;Bij een credit totaalsaldo heeft deze post geen waarde;When total balance is credit, the value this account has no value;Bij een credit totaalsaldo heeft deze post geen waarde;
DEF;Bij een waarde ongelijk aan .. klopt deze kolom niet. Rapportage is dan niet mogelijk. Zie onder PgDn;If a value unequal to .. results, then column is incorrect. FINAN cannot print. Press PgDn.;Bij een waarde ongelijk aan .. klopt deze kolom niet. Rapportage is dan niet mogelijk. Zie onder PgDn;
DEF;Bij gebruik van randvoorwaarden:;When using restrictions:;Bij gebruik van randvoorwaarden:;
DEF;Bij prognose geldt dat de laatste kolom van de historie correct moeten zijn.;In order to develop a forecast, it is required to have correct figures in the last column of the history.;Bij prognose geldt dat de laatste kolom van de historie correct moeten zijn.;
DEF;Bij prognose geldt dat voorafgaande kolommen correct moeten zijn.;In forecast projections the previous columns have to be correct.;Bij prognose geldt dat voorafgaande kolommen correct moeten zijn.;
DEF;Bij waarderingsratio's/comparables:;For valuation comparables:;Bij waarderingsratio’s/comparables:;
DEF;Bij;Add;Bij;
DEF;Bij: afschrijving verhuurart.;add: depreciation of rental equipment;Bij: afschrijving verhuurart.;
DEF;Bij: Verlies lopend jaar;Plus: Loss current year;Bij: Verlies lopend jaar;
DEF;Bij:;Add:;Bij:;
DEF;Bijlage dekkingsoverzicht;Attachment collateral survey;Bijlage dekkingsoverzicht;
DEF;Bijlagen kredietvoorstel;Annexes credit proposal;Bijlagen kredietvoorstel;
DEF;Bijlagen;Attachments;Bijlagen;
DEF;Bijtelling ivm aanspr.vermogen;Add. On behalf of net worth;Bijtelling ivm aanspr.vermogen;
DEF;Bijtellingen;Additions;Bijtellingen;
DEF;Bijvoorbeeld meewerkende gezinsleden;For example cooperating members of the family;Bijvoorbeeld meewerkende gezinsleden;
DEF;Bijz.bepalingen eenmalig;Specific conditions non-recurrent;Bijz.bepalingen eenmalig;
DEF;Bijz.bepalingen periodiek;Specific conditions current;Bijz.bepalingen periodiek;
DEF;Bijzondere inkomsten en uitg.;Cash from extraordinary results;Bijzondere inkomsten en uitg.;
DEF;BIK branchecode;BIK Industry code;BIK branchecode;
DEF;binnen de onderneming uit. Een stijging duidt op een toename van de arbeids-&;from inside the company. An increase indicates a growth of the labour-&;binnen de onderneming uit. Een stijging duidt op een toename van de arbeids-&;
DEF;Binnen één jaar af te lossen termijnen van lang vreemd vermogen;Amortisation of loans due within one year;Binnen één jaar af te lossen termijnen van lang vreemd vermogen;
DEF;binnen één jaar;within one year;binnen één jaar;
DEF;BKR-toetsing/Bureau Informatie;Credit check (with other credit institutions);BKR-toetsing/Bureau Informatie;
DEF;Black&Scholes|Intrinsic value;Black & Scholes|Intrinsic value;Black&Scholes|Intrinsic value;
DEF;Blad;Sheet;Blad;
DEF;Blok 1 (verplicht);Block 1 (obligatory);Blok 1 (verplicht);
DEF;Blok 2 (nieuwe investeringen);Block 2 (new investments);Blok 2 (nieuwe investeringen);
DEF;Blok 3 (additionele factoren);Block 3 (additional factors);Blok 3 (additionele factoren);
DEF;BNK naar Prognose;SACA to forecast;BNK naar Prognose;
DEF;BNK-kolom;BAC-kolom;BNK-kolom;
DEF;BNK;BAC;BNK;
DEF;Boekcorrecties geïnvesteerd vermogen;Booked corrections invested capital;Boekcorrecties geïnvesteerd vermogen;
DEF;Boekresultaat (cumulatief);Bookresult (accumulated);Boekresultaat (cumulatief);
DEF;Boekverliezen;Book losses;Boekverliezen;
DEF;Boekvorderingen;Registered receivables;Boekvorderingen;
DEF;Boekw. operationele geinv. kapitaal;Bookvalue operational inv. capital;Boekw. operationele geinv. kapitaal;
DEF;Boekwaarde begin jaar;Bookvalue beginning of year;Boekwaarde begin jaar;
DEF;Boekwaarde leasecontract vorige periode;Bookvalue lease contract previous period;Boekwaarde leasecontract vorige periode;
DEF;Boekwaarde leasecontract;Bookvalue lease contract;Boekwaarde leasecontract;
DEF;Boekwaarde van activa;Bookvalue of assets;Boekwaarde van activa;
DEF;Boekwaarde vaste activa;Book value fixed assets;Boekwaarde vaste activa;
DEF;Boekwaarde verhouding;Bookvalue ratio;Boekwaarde verhouding;
DEF;Boekwaarde;Book value;Boekwaarde;
DEF;Boekwinsten;Book profits;Boekwinsten;
DEF;Boekwinsten/verliezen;Book profits/losses;Boekwinsten/verliezen;
DEF;Borgstelling derden;Guarantee third party;Borgstelling derden;
DEF;Borgstelling;Guarantee;Borgstelling;
DEF;Bouwkundige voorzieningen;Improvements properties;Bouwkundige voorzieningen;
DEF;Branche rapport;Industry figures report;Branche rapport;
DEF;Branche;Sector of industry;Branche;
DEF;Branchecode niet gespecificeerd.;Industry code not specified.;Branchecode niet gespecificeerd.;
DEF;Branchecode;Industry code;Branchecode;
DEF;Brancherapport;Benchmark report;Brancherapport;
DEF;Brancherapportage;Benchmark reporting;Brancherapportage;
DEF;Brandstofkosten uitgaven;Fuel cash expenses;Brandstofkosten uitgaven;
DEF;Brandstofkosten;Fuel expenses;Brandstofkosten;
DEF;Break-even omzet;Break-even sales;Break-even omzet;
DEF;BreakEvenOmzet[Title];[@] Break even sales;BreakEvenOmzet[Title];
DEF;Bron:;Source:;Bron:;
DEF;Bronvermelding normen;Source specifications;Bronvermelding normen;
DEF;Bronvermelding;Source notification;Bronvermelding;
DEF;Bruto investeringen;Gross investments;Bruto investeringen;
DEF;Bruto investeringsvoet;Gross investment rate;Bruto investeringsvoet;
DEF;Bruto lonen en salarissen;Gross wages and salaries;Bruto lonen en salarissen;
DEF;Bruto marge handelsgoederen;Gross margin per group of products;Bruto marge handelsgoederen;
DEF;Bruto omzetresultaat;Gross sales result;Bruto omzetresultaat;
DEF;Bruto waarde eigen vermogen;Gross value equity;Bruto waarde eigen vermogen;
DEF;Bruto winst / totaal lonen;Gross Profit / total wages;Bruto winst / totaal lonen;
DEF;Bruto winst;Gross Profit;Bruto winst;
DEF;Bruto winstmarge;Gross profit margin;Bruto winstmarge;
DEF;Brutomarge excl. overige opbr.;Gross profit margin ex. other operating income;Brutomarge excl. overige opbr.;
DEF;Brutomarge gecorrigeerd voor eventuele overige bedrijfsopbrengsten;Gross profit margin adjusted for other operating income;Brutomarge gecorrigeerd voor eventuele overige bedrijfsopbrengsten;
DEF;Brutowinst / bruto loon;Gross Profit / gross wages;Brutowinst / bruto loon;
DEF;Brutowinst / medewerker (FTE);Gross profit / number of employees;Brutowinst / medewerker (fte);
DEF;Brutowinst op product;Product margin;Brutowinst op product;
DEF;Brutowinst per medewerker;Gross profit per employee;Brutowinst per medewerker;
DEF;Brutowinst;Gross profit;Brutowinst;
DEF;BrutoWinst[Title];[@]Gross profit;BrutoWinst[Title];
DEF;Brutowinst/bruto loon;Gross profit per gross wages;Brutowinst/bruto loon;
DEF;BSN (Burger Service Nummer);Social Security Number;BSN (Burger Service Nummer);
DEF;BTW geen;VAT none;Btw geen;
DEF;BTW inkoop algemeen;VAT purchase general;Btw inkoop algemeen;
DEF;BTW inkoop omzetgroep;VAT purchase sales-group;Btw inkoop omzetgroep;
DEF;BTW inkoop;VAT purchase sales;Btw inkoop;
DEF;BTW laag;VAT low;Btw laag;
DEF;BTW normaal;VAT normal;Btw normaal;
DEF;BTW ntb fractie;VAT to be payed fraction;Btw ntb fractie;
DEF;BTW op de inkopen percentage;VAT on purchases percentage;Btw op de inkopen percentage;
DEF;BTW op de inkopen;VAT on purchases;Btw op de inkopen;
DEF;BTW op de omzet percentage;VAT on revenue percentage;Btw op het omzetpercentage;
DEF;BTW op de omzet;VAT on sales;Btw op de omzet;
DEF;BTW op overige inkoopkosten;VAT on other costs of sales;Btw op overige inkoopkosten;
DEF;BTW overige bedrijfsopbrengsten;VAT Other operating income;Btw overige bedrijfsopbrengsten;
DEF;BTW overige verkopen;VAT other operating income;Btw overige verkopen;
DEF;BTW Payment fraction;VAT Payment fraction;Btw-afdracht fractie;
DEF;BTW percentage;VAT percentage;Btw percentage;
DEF;BTW tarief (hoog);VAT rate (high);Btw-tarief (hoog);
DEF;BTW tarief (laag);VAT rate (low);Btw-tarief (laag);
DEF;BTW tarief (verkoop);VAT rate (sales);Btw-tarief (verkoop);
DEF;BTW tarief investeringen;VAT rate investments;Btw-tarief investeringen;
DEF;BTW tarief kosten;VAT rate costs;Btw-tarief kosten;
DEF;BTW tarief;VAT rate;Btw-tarief;
DEF;BTW tarieven kosten en;Tax rates, charges and;Btw-tarieven, kosten en;
DEF;BTW tarieven;VAT rates;Btw-tarieven;
DEF;BTW verkoop algemeen;VAT sales general;Btw verkoop algemeen;
DEF;BTW verkoop omzetgroep;VAT sales-group;Btw verkoop omzetgroep;
DEF;BTW verkoop;VAT sales;Btw verkoop;
DEF;BTW;VAT;Btw;
DEF;Buitengewone baten en lasten;Extraordinary income and expenses;Buitengewone baten en lasten;
DEF;Buitengewone baten;Extraordinary income;Buitengewone baten;
DEF;Buitengewone lasten;Extraordinary expenses;Buitengewone lasten;
DEF;Buitengewoon resultaat;Extraordinary result;Buitengewoon resultaat;
DEF;Buitenlands;Foreign;Buitenlands;
DEF;Burgerlijke staat;Civil status;Burgerlijke staat;
DEF;BV of NV;Private or public limited company;BV of NV;
DEF;BV;Limited Liability Company;BV;
DEF;CAO Lonen Index;Wages Index;Cao Lonen Index;
DEF;CAO lonen;average expenses wages;CAO lonen;
DEF;Car cash expenses;Transportation expenses;Autokosten;
DEF;Carry back en verouderd niet-verrekend verlies;Carry back and outdated forward loss;Carry back en verouderd niet-verrekend verlies;
DEF;CarTransportationCashExpenses;Transportation expenses cash;Autokosten contante uitgaven;
DEF;Cash and cash equivalents begin van het jaar;Cash and cash equivalents beginning of year;Cash and cash equivalents begin van het jaar;
DEF;Cash flow statement niet beschikbaar in de gevraagde kolommen!;Cash flow statement not available in the requested columns!;Cash flow statement niet beschikbaar in de gevraagde kolommen!;
DEF;Cashflow controle;Cashflow check;Cashflow controle;
DEF;Cashflow t.o.v. de aflossingen;Cash flow divided by the repayments;Cashflow t.o.v. de aflossingen;
DEF;Cashflow;Cashflow;Cashflow;
DEF;categoraal;Categorial;categoraal;
DEF;categorie;category;categorie;
DEF;Certificates of deposits;Certificates of deposit (< 1 year);Certificates of deposits;
DEF;CFOperActN[Title];[@] Operational cash flow;CFOperActN[Title];
DEF;check;check;check;
DEF;Cockpits;Cockpits;Cockpits;
DEF;Column order;Column order;Kolom volgorde;
DEF;Column Type;Column Type;Kolom type;
DEF;Column visible;Column visible;Kolom zichtbaar;
DEF;Commanditaire Vennootschap (CV);Limited partnership;Commanditaire Vennootschap (CV);
DEF;Commissie;Facility fee;Commissie;
DEF;Company life cycle;company life cycle (emerging, growing, mature, declining);Company life cycle;
DEF;Company's competitiveness;company’s competitiveness;Company’s competitiveness;
DEF;Company's market potential;company’s market potential;Company’s market potential;
DEF;Company's skills to face the competition;company’s skills to face the competition;Company’s skills to face the competition;
DEF;Comparable wijkt sterk af van eigen niveau in prognose.;Comparable company ratio differs substantially from own.;Comparable wijkt sterk af van eigen niveau in prognose.;
DEF;Computers en software;Computers and software;Computers en software;
DEF;Condities hypothecaire lening;Conditions mortgage;Condities hypothecaire lening;
DEF;Condities leningen;Conditions loans;Condities leningen;
DEF;Condities RC;Conditions overdraft facility;Condities RC;
DEF;Consequenties;Consequences;Consequenties;
DEF;Consumenten;Consumers;Consumenten;
DEF;Contactpersoon;Contact person;Contactpersoon;
DEF;Contante waarde economische winst;Present value economic profit;Contante waarde economische winst;
DEF;Contante waarde niet operationele cashflows;Present value of non-operational cash flow;Contante waarde niet operationele cashflows;
DEF;Contante waarde onderneming;Present value of company;Contante waarde onderneming;
DEF;Contante waarde voorspelperiode;Present value in forecasting period;Contante waarde voorspelperiode;
DEF;Contante waarde vrije kasstr.;DCF value;Contante waarde vrije kasstr.;
DEF;Contante waarde;Net present value;Contante waarde;
DEF;Contractperiode (jaren);Contract-period (years);Contractperiode (jaren);
DEF;Contributies en abonnementen;Contributions and subscriptions;Contributies en abonnementen;
DEF;Controle (moet nul zijn);Check (must be zero);Controle (moet nul zijn);
DEF;Controle branchecode;Check industry code;Controle branchecode;
DEF;Controle Calculated;Check Calculated;Controle Calculated;
DEF;Controle en advies;Costs for advisory services;Controle en advies;
DEF;Controle historie;Check history;Controle historie;
DEF;Controle input;Check input;Controle input;
DEF;Controle negatieve boekwaardes;Check negative bookvalues;Controle negatieve boekwaardes;
DEF;Controle op verplichte velden;Check of obligatory fields;Controle op verplichte velden;
DEF;Controle prognose;Check of forecast;Controle prognose;
DEF;Controle vermogensaansluiting;Check net worth reconciliation;Controle vermogensaansluiting;
DEF;Controle vermogensbehoefte;Check capital shortfall;Controle vermogensbehoefte;
DEF;Controle waardebepaling;Check of valuation;Controle waardebepaling;
DEF;Controle;Check;Controle;
DEF;Controleer of de branchecode in het V04-dossier gelijk is aan die van het betreffende X04-dossier (het normdossier).|Controleer daarnaast of dit V04 en het X04-dossier in dezelfde map staan.;Check if the industry code in the V04 document is equal to the X04 document.|Check also if the V04 document and X04 document are saved in the same directory.;Controleer of de branchecode in het V04-dossier gelijk is aan die van het betreffende X04-dossier (het normdossier).|Controleer daarnaast of dit V04 en het X04-dossier in dezelfde map staan.;
DEF;Controleer of de financieringspositie en de bedrijfscapaciteit zijn afgestemd op de snelle groei.;Check if the financial position and the organizational capacity are alligned with the rapid growth.;Controleer of de financieringspositie en de bedrijfscapaciteit zijn afgestemd op de snelle groei.;
DEF;Controleer of de reële omzetdaling gevolgen heeft voor de rentabiliteit.;Check if the turnover decrease has consequences for the profitability.;Controleer of de reële omzetdaling gevolgen heeft voor de rentabiliteit.;
DEF;Controleert de verschillen in verhoudingen op de resultatenrekening tussen het laatste en voorlaatste jaar.;Checks for substantial differences in proportions within the profit and loss account over the last two years.;Controleert de verschillen in verhoudingen op de resultatenrekening tussen het laatste en voorlaatste jaar.;
DEF;Controleert of de defaultwaarden voor de ROIC voor vervangings- en uitbreidingsinvesteringen zijn overschreven.;Checks whether the input for the ROIC for replacement and new investments is overwritten.;Controleert of de defaultwaarden voor de ROIC voor vervangings- en uitbreidingsinvesteringen zijn overschreven.;
DEF;Controleert of de groei van bedrijfsresultaat eenzelfde richting heeft als de groei van de investeringen.;Checks whether operating profit and invested capital grow proportionally.;Controleert of de groei van bedrijfsresultaat eenzelfde richting heeft als de groei van de investeringen.;
DEF;Controleert of de groeivoet niet hoger is dan de gemiddelde vermogenskostenvoet.;Checks whether growth rate (g) does not exceed the WACC.;Controleert of de groeivoet niet hoger is dan de gemiddelde vermogenskostenvoet.;
DEF;Controleert of de omzet en het balanstotaal in dezelfde richting groeien.;Checks whether sales and balance sheet total grow in the same direction.;Controleert of de omzet en het balanstotaal in dezelfde richting groeien.;
DEF;Controleert of de waarde van debt ratio overeenstemt met de geprognotiseerde doelverhouding EV/TV.;Checks whether the debt ratio equals the target debt ratio.;Controleert of de waarde van debt ratio overeenstemt met de geprognotiseerde doelverhouding EV/TV.;
DEF;Controleert of de winstinhouding overeenstemt met de instandhouding van het doelverhouding EV/TV.;Checks whether retained profit corresponds with the amount necessary to maintain the target debt ratio;Controleert of de winstinhouding overeenstemt met de instandhouding van het doelverhouding EV/TV.;
DEF;Controleert of er afschrijvingen zijn behorende bij de activa.;Checks whether or not depreciation is related to assets.;Controleert of er afschrijvingen zijn behorende bij de activa.;
DEF;Controleert of het balanstotaal en de omzet beide gelijkmatig groeien in het laatste jaar.;Checks whether balance sheet total and sales have proportional growth in the last year.;Controleert of het balanstotaal en de omzet beide gelijkmatig groeien in het laatste jaar.;
DEF;Controleert of het balanstotaal en de omzet eenzelfde groeirichting hebben in het laatste jaar.;Checks whether growth in balance sheet total and sales have the same direction in the last year.;Controleert of het balanstotaal en de omzet eenzelfde groeirichting hebben in het laatste jaar.;
DEF;Controleert of het laatst ingevoerde jaar geschikt is om als steady state te gebruiken;Checks if the last forecasting year can be used for forecasting the steady state.;Controleert of het laatst ingevoerde jaar geschikt is om als steady state te gebruiken;
DEF;Controleert op lage waarden current ratio en quick ratio.;Checks for low values of current ratio and quick ratio.;Controleert op lage waarden current ratio en quick ratio.;
DEF;Controleert op liquiditeitstekort (overschrijding RC-kredietlimiet bank).;Checks for cash shortage (overdraft above current account limit);Controleert op liquiditeitstekort (overschrijding RC-kredietlimiet bank).;
DEF;Controleert op omslag groei van pos. naar neg. en vreemde groeiwisselingen per periode.;Checks for reversions in growth direction and remarkable changes in growth.;Controleert op omslag groei van pos. naar neg. en vreemde groeiwisselingen per periode.;
DEF;Controleert op verschillen in balansverhoudingen tussen het laatste en voorlaatste jaar;Checks for differences in balance sheet components between last year and the year before.;Controleert op verschillen in balansverhoudingen tussen het laatste en voorlaatste jaar;
DEF;Controleert solvabiliteit t.o.v. historie in combinatie met interest coverage ratio.;Checks solvency in history in combination with interest coverage ratio.;Controleert solvabiliteit t.o.v. historie in combinatie met interest coverage ratio.;
DEF;Conversie sectie;Conversion section;Conversie sectie;
DEF;Conversie waarden AV;Conversion value LC (Liable capital);Conversie waarden AV;
DEF;Conversie;Conversion;Conversie;
DEF;Converteer gegevens (Gehele directory);Convert old files (complete directory);Converteer gegevens (Gehele directory);
DEF;Converteer gegevens;Convert data;Converteer gegevens;
DEF;COOP;Cooperation;COOP;
DEF;Coöperatieve Vereniging;Co-operative association;Coöperatieve Vereniging;
DEF;Corr. vaste activa (neg.);Corr. fixed assets (neg.);Corr. vaste activa (neg.);
DEF;Corr. vaste activa (pos.);Corr. fixed assets (pos.);Corr. vaste activa (pos.);
DEF;Corr. vlottende activa;Corr. current assets;Corr. vlottende activa;
DEF;Correctie aflossingscapaciteit;Correction repayment capacity;Correctie aflossingscapaciteit;
DEF;Correctie bedrijfsuitrusting;Correction equipment;Correctie bedrijfsuitrusting;
DEF;Correctie eigen resultaat:;Correction operating profit:;Correctie eigen resultaat:;
DEF;Correctie financieringslasten;Adjustment finance expenses;Correctie financieringslasten;
DEF;Correctie intrinsieke waarde;Correction intrinsic value;Correctie intrinsieke waarde;
DEF;Correctie jaarcijfers;Score age of financial figures;Correctie jaarcijfers;
DEF;Correctie moet tussen -40 en +40 liggen;Correction has to be between -40 and +40;Correctie moet tussen -40 en +40 liggen;
DEF;Correctie moet tussen -40 en +60 liggen;Correction has to be between -40 and +60;Correctie moet tussen -40 en +60 liggen;
DEF;Correctie moet tussen -40 en 0 liggen;Correction has to be between -40 and 0;Correctie moet tussen -40 en 0 liggen;
DEF;Correctie moet tussen -60 en +60 liggen;Correction has to be between -60 and +60;Correctie moet tussen -60 en +60 liggen;
DEF;Correctie moet tussen 0 en 60 liggen;Correction has to be between 0 and 60;Correctie moet tussen 0 en 60 liggen;
DEF;Correctie niet-financiële parameters;Correction non-financial parameters;Correctie niet-financiële parameters;
DEF;Correctie nieuwe investering;Correction new investment;Correctie nieuwe investering;
DEF;Correctie onroerende zaken;Correction real estate;Correctie onroerende zaken;
DEF;Correctie passiva;Adjustment to liabilities;Correctie passiva;
DEF;Correctie vaste activa;Adjustment to fixed assets;Correctie vaste activa;
DEF;Correctie voor off-balance;Off-balance sheet adjustments;Correctie voor off-balance;
DEF;Correctie voor ongerealiseerde herw.;Correction for not amortised revaluation;Correctie voor ongerealiseerde herw.;
DEF;Correctie voor verschil in vermogensstructuur.;Correction for differences in capital structure.;Correctie voor verschil in vermogensstructuur.;
DEF;Correctie voor verschil in vermogensstruktuur.;Correction for difference in capital structure;Correctie voor verschil in vermogensstruktuur.;
DEF;Correctie voorraden;Adjustment to inventories;Correctie voorraden;
DEF;Correctie vorderingen;Adjustment to receivables;Correctie vorderingen;
DEF;Correctie waardering schulden;Correction in valuation of debt;Correctie waardering schulden;
DEF;Correctie waarderingsdatum voor NPV2 formule;Correction valuation date for NPV2 formula;Correctie waarderingsdatum voor NPV2 formule;
DEF;Correctie;Adjustment;Correctie;
DEF;Correcties activa;Corrections on assets;Correcties activa;
DEF;Correcties bedrijfsresultaat;Corrections on operating profit;Correcties bedrijfsresultaat;
DEF;Correcties financiële vaste activa;Correction financial fixed assets;Correcties financiële vaste activa;
DEF;Correcties financiÙle vaste activa;Correction on financial fixed assets;Correcties financiÙle vaste activa;
DEF;Correcties immateriële vaste activa;Corrections intangible fixed assets;Correcties immateriële vaste activa;
DEF;Correcties immateriÙle vaste activa;Correction on intangible fixed assets;Correcties immateriÙle vaste activa;
DEF;Correcties latente belastingen wegens correcties intrinsieke waarde;Corrections deferred taxes due to changes in intangible fixed assets;Correcties latente belastingen wegens correcties intrinsieke waarde;
DEF;Correcties n.a.v. geactiveerde kosten;Corrections for capitalized costs;Correcties n.a.v. geactiveerde kosten;
DEF;Correcties n.a.v. off-balance lease;Corrections for off-balance lease;Correcties n.a.v. off-balance lease;
DEF;Correcties op eigen vermogen;Corrections on net worth;Correcties op eigen vermogen;
DEF;Correcties op passiva;Corrections on liabilities;Correcties op passiva;
DEF;Correcties passiva;Corrections liabilities;Correcties passiva;
DEF;Correcties van invloed op herwaardeerd balanstotaal,|niet op aansprakelijk vermogen|Gebruik: Ctrl + voor het dwarsverband;Corrections with influence on revaluated assets, not on tangible net worth;Correcties van invloed op herwaardeerd balanstotaal,|niet op aansprakelijk vermogen|Gebruik: Ctrl + voor het dwarsverband;
DEF;Correcties voor;Corrections for;Correcties voor;
DEF;Correcties voorraden;Correction inventories;Correcties voorraden;
DEF;Correcties vorderingen;Correction receivables;Correcties vorderingen;
DEF;Correcties;Corrections;Correcties;
DEF;Credit check at third parties;Credit check with third parties;Credit check at third parties;
DEF;Credit relatie;Credit relation;Credit relatie;
DEF;Credit rente methode;Credit interest method;Credit rente methode;
DEF;Creditcondities;Credit conditions;Creditcondities;
DEF;Crediteuren excl. BTW;Accounts payable excl. VAT;Crediteuren excl. Btw;
DEF;Crediteuren inkoopkosten (;Accounts payable cost of sales (;Crediteuren inkoopkosten (;
DEF;Crediteuren inkoopkosten;Accounts payable cost of sales;Crediteuren inkoopkosten;
DEF;Crediteuren;Accounts payable;Crediteuren;
DEF;Creditrente rek. courant (bank);Received interest for current account (bank);Creditrente rek. courant (bank);
DEF;Creditsaldo rek.courant;Overdraft credit;Creditsaldo rek.courant;
DEF;Cum. afschrijving desinvesteringen;Accum. depreciation divestments;Cum. afschrijving desinvesteringen;
DEF;Cum. afschrijving vorige periode;Accum. depreciation last period;Cum. afschrijving vorige periode;
DEF;Cum. verrekenbare verliescompensatie aanvang periode;Accumulated carry forward start of period;Cum. verrekenbare verliescompensatie aanvang periode;
DEF;Cummulatieve afschrijving;Accumulated depreciation;Cumulatieve afschrijving;
DEF;Cumulatief belastbaar bedrag;Cumulative taxable amount;Cumulatief belastbaar bedrag;
DEF;Cumulatief belastbaar bedrag:;Cumulative taxable amount:;Cumulatief belastbaar bedrag:;
DEF;Cumulatief fiscaal resultaat;Accumulated taxable profit;Cumulatief fiscaal resultaat;
DEF;Cumulatief saldo;Accumulated surplus;Cumulatief saldo;
DEF;Cumulatief verrekenbaar verlies vorige periode;Accumulated carry forward previous period;Cumulatief verrekenbaar verlies vorige periode;
DEF;cumulatief;accumulated;cumulatief;
DEF;cumulatief);accumulated);cumulatief);
DEF;Cumulatieve aflossing RC;Cum. repayments overdraft;Cumulatieve aflossing RC;
DEF;Cumulatieve afschrijving;Accum. depreciation;Cumulatieve afschrijving;
DEF;Cumulatieve compenseerbare winst binnen boekjaar;Accumulated profit to be compensated within bookyear;Cumulatieve compenseerbare winst binnen boekjaar;
