COMPONENT;KEY;EN;NL;
scorecard;kr_title;KOREA, REPUBLIC OF;ZUID-KOREA;
scorecard;kw_title;KUWAIT;KUWEIT;
scorecard;ky_title;CAYMAN ISLANDS;CAYMAN-EIL.;
scorecard;kz_title;KAZAKHSTAN;KAZACHSTAN;
scorecard;la_title;LAO PEOPLE'S DEMOCRATIC REPUBLIC;LAOS;
scorecard;lb_title;LEBANON;LIBANON;
scorecard;lc_title;SAINT LUCIA;ST. LUCIA;
scorecard;li_title;LIECHTENSTEIN;LIECHTENSTEIN;
scorecard;lk_title;SRI LANKA;SRI LANKA;
scorecard;lr_title;LIBERIA;LIBERIA;
scorecard;ls_title;LESOTHO;LESOTHO;
scorecard;lt_title;LITHUANIA;LITOUWEN;
scorecard;lu_title;LUXEMBOURG;LUXEMBURG;
scorecard;lv_title;LATVIA;LETLAND;
scorecard;ly_title;LIBYA;LIBIE;
scorecard;ma_title;MOROCCO;MAROKKO;
scorecard;mc_title;MONACO;MONACO;
scorecard;md_title;MOLDOVA, REPUBLIC OF;MOLDAVIE;
scorecard;me_title;MONTENEGRO;MONTENEGRO;
scorecard;mf_title;SAINT MARTIN (FRENCH PART);SINT MAARTEN;
scorecard;mg_title;MADAGASCAR;MADAGASKAR;
scorecard;mh_title;MARSHALL ISLANDS;MARSHALL-EIL.;
scorecard;mk_title;MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF;MACEDONIE;
scorecard;ml_title;MALI;MALI;
scorecard;mm_title;MYANMAR;MYANMAR;
scorecard;mn_title;MONGOLIA;MONGOLIE;
scorecard;mo_title;MACAO;MACAO;
scorecard;mp_title;NORTHERN MARIANA ISLANDS;NRD. MARIANEN;
scorecard;mq_title;MARTINIQUE;MARTINIQUE;
scorecard;mr_title;MAURITANIA;MAURITANIE;
scorecard;ms_title;MONTSERRAT;MONTSERRAT;
scorecard;mt_title;MALTA;MALTA;
scorecard;mu_title;MAURITIUS;MAURITIUS;
scorecard;mv_title;MALDIVES;MALDIVEN;
scorecard;mw_title;MALAWI;MALAWI;
scorecard;mx_title;MEXICO;MEXICO;
scorecard;my_title;MALAYSIA;MALEISIE;
scorecard;mz_title;MOZAMBIQUE;MOZAMBIQUE;
scorecard;na_title;NAMIBIA;NAMIBIE;
scorecard;nc_title;NEW CALEDONIA;NW-CALEDONIE;
scorecard;ne_title;NIGER;NIGER;
scorecard;nf_title;NORFOLK ISLAND;NORFOLK;
scorecard;ng_title;NIGERIA;NIGERIA;
scorecard;ni_title;NICARAGUA;NICARAGUA;
scorecard;nl_title;NETHERLANDS;NEDERLAND;
scorecard;no_title;NORWAY;NOORWEGEN;
scorecard;np_title;NEPAL;NEPAL;
scorecard;nr_title;NAURU;NAURU;
scorecard;nu_title;NIUE;NIUE;
scorecard;nz_title;NEW ZEALAND;NIEUW-ZEELAND;
scorecard;om_title;OMAN;OMAN;
scorecard;pa_title;PANAMA;PANAMA;
scorecard;pe_title;PERU;PERU;
scorecard;pf_title;FRENCH POLYNESIA;FR. POLYNESIE;
scorecard;pg_title;PAPUA NEW GUINEA;PAPUA NW-GUIN.;
scorecard;ph_title;PHILIPPINES;FILIPIJNEN;
scorecard;pk_title;PAKISTAN;PAKISTAN;
scorecard;pl_title;POLAND;POLEN;
scorecard;pm_title;SAINT PIERRE AND MIQUELON;ST.PIERRE-MIQ.;
scorecard;pn_title;PITCAIRN;PITCAIRN;
scorecard;pr_title;PUERTO RICO;PUERTO RICO;
scorecard;ps_title;PALESTINE, STATE OF;PALEST.AUT.GEB;
scorecard;pt_title;PORTUGAL;PORTUGAL;
scorecard;pw_title;PALAU;PALAU-EIL.;
scorecard;py_title;PARAGUAY;PARAGUAY;
scorecard;qa_title;QATAR;QATAR;
scorecard;re_title;REUNION;REUNION;
scorecard;ro_title;ROMANIA;ROEMENIE;
scorecard;rs_title;SERBIA;SERVIE;
scorecard;ru_title;RUSSIAN FEDERATION;RUSLAND;
scorecard;rw_title;RWANDA;RWANDA;
scorecard;sa_title;SAUDI ARABIA;SAUDI-ARABIE;
scorecard;sb_title;SOLOMON ISLANDS;SOLOMON-EIL.;
scorecard;sc_title;SEYCHELLES;SEYCHELLEN;
scorecard;sd_title;SUDAN;SUDAN;
scorecard;se_title;SWEDEN;ZWEDEN;
scorecard;sg_title;SINGAPORE;SINGAPORE;
scorecard;sh_title;SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA;ST HELENA, ASCENSION EN TRISTAN CUNHA;
scorecard;si_title;SLOVENIA;SLOVENIE;
scorecard;sj_title;SVALBARD AND JAN MAYEN;SPITSBERGEN;
scorecard;sk_title;SLOVAKIA;SLOWAKIJE;
scorecard;sl_title;SIERRA LEONE;SIERRA LEONE;
scorecard;sm_title;SAN MARINO;SAN MARINO;
scorecard;sn_title;SENEGAL;SENEGAL;
scorecard;so_title;SOMALIA;SOMALIA;
scorecard;sr_title;SURINAME;SURINAME;
scorecard;ss_title;SOUTH SUDAN;ZUID SUDAN;
scorecard;st_title;SAO TOME AND PRINCIPE;SAO TOME-PRINC;
scorecard;sv_title;EL SALVADOR;EL SALVADOR;
scorecard;sx_title;SINT MAARTEN (DUTCH PART);SINT MAARTEN;
scorecard;sy_title;SYRIAN ARAB REPUBLIC;SYRIE;
scorecard;sz_title;SWAZILAND;SWAZILAND;
scorecard;tc_title;TURKS AND CAICOS ISLANDS;TURKS CAICOS;
scorecard;td_title;CHAD;TSJAAD;
scorecard;tf_title;FRENCH SOUTHERN TERRITORIES;FR. TERRITORIA;
scorecard;tg_title;TOGO;TOGO;
scorecard;th_title;THAILAND;THAILAND;
scorecard;ee_title;ESTONIA;ESTLAND;
scorecard;eg_title;EGYPT;EGYPTE;
scorecard;eh_title;WESTERN SAHARA;WEST. SAHARA;
scorecard;er_title;ERITREA;ERITREA;
scorecard;es_title;SPAIN;SPANJE;
scorecard;et_title;ETHIOPIA;ETHIOPIE;
scorecard;fi_title;FINLAND;FINLAND;
scorecard;fj_title;FIJI;FIJI;
scorecard;fk_title;FALKLAND ISLANDS (MALVINAS);FALKLAND-EIL.;
scorecard;fm_title;MICRONESIA, FEDERATED STATES OF;MICRONESIA;
scorecard;fo_title;FAROE ISLANDS;FAROER;
scorecard;fr_title;FRANCE;FRANKRIJK;
scorecard;ga_title;GABON;GABON;
scorecard;gb_title;UNITED KINGDOM;VER.KONINKRIJK;
scorecard;gd_title;GRENADA;GRENADA;
scorecard;ge_title;GEORGIA;GEORGIE;
scorecard;gf_title;FRENCH GUIANA;FR. GUYANA;
scorecard;gg_title;GUERNSEY;GUERNSEY;
scorecard;gh_title;GHANA;GHANA;
scorecard;gi_title;GIBRALTAR;GIBRALTAR;
scorecard;gl_title;GREENLAND;GROENLAND;
scorecard;gm_title;GAMBIA;GAMBIA;
scorecard;gn_title;GUINEA;GUINEE;
scorecard;gp_title;GUADELOUPE;GUADELOUPE;
scorecard;tj_title;TAJIKISTAN;TADZJIKISTAN;
scorecard;tk_title;TOKELAU;TOKELAU;
scorecard;tl_title;TIMOR-LESTE;OOST TIMOR;
scorecard;tm_title;TURKMENISTAN;TURKMENISTAN;
scorecard;tn_title;TUNISIA;TUNESIE;
scorecard;to_title;TONGA;TONGA;
scorecard;tr_title;TURKEY;TURKIJE;
scorecard;tt_title;TRINIDAD AND TOBAGO;TRINIDAD-TOBAG;
scorecard;tv_title;TUVALU;TUVALU;
scorecard;tw_title;TAIWAN, PROVINCE OF CHINA;TAIWAN;
scorecard;tz_title;TANZANIA, UNITED REPUBLIC OF;TANZANIA;
scorecard;ua_title;UKRAINE;OEKRAINE;
scorecard;ug_title;UGANDA;UGANDA;
scorecard;um_title;UNITED STATES MINOR OUTLYING ISLANDS;AM. TERRITORIA;
scorecard;us_title;UNITED STATES;VER. STATEN;
scorecard;uy_title;URUGUAY;URUGUAY;
scorecard;uz_title;UZBEKISTAN;OEZBEKISTAN;
scorecard;va_title;HOLY SEE (VATICAN CITY STATE);VATICAANSTAD;
scorecard;vc_title;SAINT VINCENT AND THE GRENADINES;ST. VINCENT;
scorecard;ve_title;VENEZUELA, BOLIVARIAN REPUBLIC OF;VENEZUELA;
scorecard;vg_title;VIRGIN ISLANDS, BRITISH;VIRGIN-EIL. GB;
scorecard;vi_title;VIRGIN ISLANDS, U.S.;VIRGIN-EIL. US;
scorecard;vn_title;VIET NAM;VIETNAM;
scorecard;vu_title;VANUATU;VANUATU;
scorecard;wf_title;WALLIS AND FUTUNA;WALLIS-FUTUNA;
scorecard;ws_title;SAMOA;WEST-SAMOA;
scorecard;ye_title;YEMEN;JEMEN;
scorecard;yt_title;MAYOTTE;MAYOTTE;
scorecard;za_title;SOUTH AFRICA;ZUID-AFRIKA;
scorecard;zm_title;ZAMBIA;ZAMBIA;
scorecard;zw_title;ZIMBABWE;ZIMBABWE;
k3;add_tuple_format;Add {0};Voeg {0} toe;
scorecard;view_currency;View currency in:;Toon valuta in:;
k3;viewcurrency-enabled;You are now viewing your figures in the selected currency. The figures on the screen can not be changed now.;U bekijkt uw cijfers nu in de geselecteerd valuta. De cijfers op het scherm kunnen nu niet worden gewijzigd.;
scorecard;date-selector.required;Please enter a date;Voer een datum in;
scorecard;date-selector.iconverter;Please enter a valid date;Voer een geldige datum in;
scorecard;currency_selection_header;Select a currency;Selecteer een currency;
forms;currency_selection_header;Select a currency;Selecteer een currency;
history;aab;Cai-AS;Cai-AS;
history;add_bookyear;Add bookyear;Voeg boekjaar toe;
scorecard;Open Forecast;Open Forecast;Open Prognose;
scorecard;remove_custom_financingtarget_title;Removing Financing target;Verwijder Financieringsdoel;
k3;remove_custom_financingtarget_description;It is possible this financing target has been referenced to a banking or non-banking source. Deleting this link could cause the selected target for the affected sources to be deselected. Are you sure you want to continue?;Het is mogelijk dat dit financieringsdoel gekoppeld is aan een bancaire of niet-bancaire bron. Het verwijderen van dit doel kan ervoor zorgen dat deze koppeling verdwijnt. Wilt u doorgaan?;
scorecard;remove_custom_financingtarget_cancel;Cancel;Annuleer;
scorecard;remove_custom_financingtarget_confirm;Confirm;Verwijder;
forms;source_1_title;Own investment;Eigen Middelen;
forms;source_2_title;Liquidity provided by family or friends;Liquiditeit door familie en/of vrienden;
forms;source_3_title;Microcredit;Microkrediet;
forms;source_4_title;Crowdfunding;Crowdfunding;
forms;source_5_title;Subsidy;Subsidiëring;
forms;source_6_title;Participations;Participaties;
forms;source_7_title;Subordinated loan;Achtergestelde lening;
forms;source_8_title;Risk-bearing funds;Risicodragende fondsen;
forms;Non-banking sources;Non-banking sources;Niet bancaire bronnen;
k3;FINANCINGTARGETSC;FINANCINGTARGETSC;FINANCINGTARGETSC;
crm;STEP2SC;STEP2SC;STEP2SC;
scorecard;STEP2SC;STEP2SC;STEP2SC;
service;STEP2SC;STEP2SC;STEP2SC;
crm;STEP5SC;STEP5SC;STEP5SC;
scorecard;STEP5SC;STEP5SC;STEP5SC;
service;STEP5SC;STEP5SC;STEP5SC;
k3;FINANCINGSOURCESC;FINANCINGSOURCESC;FINANCINGSOURCESC;
scorecard;Total Non-banking sources;Total non-banking sources;Totale niet bancaire bronnen;
scorecard;pricing_export_exception;Not all values could be exported. Please check the fields.;Niet alle waardes kunnen geëxporteerd worden. Controleer de velden.;
scorecard;customizable;Save;Opslaan;
scorecard;Key members of board;Members of the board;Bestuursleden;
scorecard;0:Board Member|1:CEO|2:CFO|3:COO|4:President|5:Vice-President|6:Please choose;0:Board Member|1:CEO|2:CFO|3:COO|4:President|5:Vice-President|6:Please choose;0:Bestuurslid|1:CEO|2:CFO|3:COO|4:President|5:Vice-President|6:Maak een keuze;
scorecard;1:Agrarisch|2:Bouw|3:Financial Institutions|4:Food|5:Healthcare|6:Industrie|7:Leisure|8:Olie & Gas|9:Onbekend|10:Overheid & Onderwijs|11:Prive Personen|12:Real Estate|13:Retail|14:Technologie, Media & Telecom|15:Transport & Logistiek|16:Utilities|17:Zakelijke dienstverlening|0:Maak keuze;1:Agricultural|2:Construction|3:Financial Institutions|4:Food|5:Healthcare|6:Industry|7:Leisure|8:Oil & Gas|9:Unknown|10:Government & Education|11:Private Persons|12:Real Estate|13:Retail|14:Technology, Media & Telecommunications|15:Transport & Logistics|16:Utilities|17:Business services|0:Please Choose;1:Agrarisch|2:Bouw|3:Financial Institutions|4:Food|5:Healthcare|6:Industrie|7:Leisure|8:Olie & Gas|9:Onbekend|10:Overheid & Onderwijs|11:Prive Personen|12:Real Estate|13:Retail|14:Technologie, Media & Telecom|15:Transport & Logistiek|16:Utilities|17:Zakelijke dienstverlening|0:Maak keuze;
budget;select_years;Select the amount of years to be added;Selecteer het aantal jaren dat toegevoegd moet worden;
budget;add_new_budget;New client expectation;Nieuwe klantverwachting;
budget;create_budget;New client expectation;Nieuwe klantverwachting;
budget;new_budget;New client expectation;Nieuwe klantverwachting;
budget;new_budget_wizard;New client expectation;Nieuwe klantverwachting;
budget;select_historic_years;Below you are able to select the historical years you want to import into your customer expectation so that you can make a better estimate.;Hieronder kunt u jaren uit uw historie aanvinken die u wilt importeren in uw klantverwachting zodat u de verwachtingsjaren beter kunt inschatten. Het is van belang dat de historische jaren die u wilt importeren, aansluiten aan de klantverwachtingsjaren.;
budget;wizard_step_import;Import historic years;Importeer historische jaren;
budget;import_historic_years;Import historic years;Importeer historische jaren;
DEF;0:Maak keuze|113:Commerciële Sportfaciliteiten|114:Culturele Activiteiten|115:Dienstverlening Reizen & Toerisme|116:Gok- & Casinofaciliteiten|117:Hotels & Overige Verblijfsaccommodaties|118:Personenvervoer Lucht|119:Personenvervoer Spoor, Weg & Water|120:Recreatieve Diensten|121:Restaurants & Café's;0:Please Choose|113:Commercial Sports|114:Cultural Activities|115:Services Travel & Tourism|116:Gambling & Casino Services|117:Hotels & Other Lodgings|118:Passenger Air|119:Passenger Rail, Road & Water|120:Recreational Services|121:Restaurants & Cafes;0:Maak keuze|113:Commerciële Sportfaciliteiten|114:Culturele Activiteiten|115:Dienstverlening Reizen & Toerisme|116:Gok- & Casinofaciliteiten|117:Hotels & Overige Verblijfsaccommodaties|118:Personenvervoer Lucht|119:Personenvervoer Spoor, Weg & Water|120:Recreatieve Diensten|121:Restaurants & Café's;
DEF;0:Maak keuze|122:Benzinestations Olie- & Gasmaatschappijen|123:Dienstverlening Olie & Gas|124:Groothandel Brandstoffen|125:Olie & Gas Geïntegreerd|126:Olie & Gas Niet-Geïntegreerd|127:Pijpleidingen Brandstof;0:Please Choose|122:Petrol stations Oil and gas companies|123:Services Oil & Gas|124:Wholesale Fuels|125: Integrated Oil & Gas|126:Non-Integrated Oil & Gas|127:Pipelines Fuel;0:Maak keuze|122:Benzinestations Olie- & Gasmaatschappijen|123:Dienstverlening Olie & Gas|124:Groothandel Brandstoffen|125:Olie & Gas Geïntegreerd|126:Olie & Gas Niet-Geïntegreerd|127:Pijpleidingen Brandstof;
DEF;0:Maak keuze|129:Centrale Bank|130:Centrale Overheid|131:Export-Import Bank|132:Exportkredietverzekering|133:Internationale & Supranationale Organisaties|134:Multilaterale Financiële Instellingen|135:Onderwijs|136:Regionale Overheid;0:Please Choose|129:Central Bank|130:Central Government|131:Export-Import Bank|132:Export credit insurance|133:International and Supranational Organizations|134:Multilateral Financial Institutions|135:Education|136:Regional Government;0:Maak keuze|129:Centrale Bank|130:Centrale Overheid|131:Export-Import Bank|132:Exportkredietverzekering|133:Internationale & Supranationale Organisaties|134:Multilaterale Financiële Instellingen|135:Onderwijs|136:Regionale Overheid;
DEF;0:Maak keuze|137:Privé Personen;0:Please Choose|137:Private Persons;0:Maak keuze|137:Privé Personen;
DEF;0:Maak keuze|138:Beheer, Verhuur & Bemiddeling Onroerend Goed|139:Beleggingsinstellingen Onroerend Goed|140:Projectontwikkeling;0:Please Choose|138:Management, Rentals & Real Estate Agents|139:Real Estate Investment Funds|140:Project;0:Maak keuze|138:Beheer, Verhuur & Bemiddeling Onroerend Goed|139:Beleggingsinstellingen Onroerend Goed|140:Projectontwikkeling;
DEF;0:Maak keuze|141:Detailhandel Auto-onderdelen|142:Detailhandel Breed Assortiment|143:Detailhandel Elektrotechnische Apparaten|144:Detailhandel Kleding, Schoenen & Sportartikelen|145:Detailhandel Mode Accessoires & Verzorgingsproducten|146:Detailhandel Overige Huishoudelijke Producten|147:Detailhandel Personenauto's|148:Detailhandel Voedings & Genotmiddelen|149:Detailhandel Wooninterieurproducten|150:Groothandel Auto-onderdelen|151:Groothandel Breed Assortiment|152:Groothandel Huishoudelijke Apparaten|153:Groothandel Kleding, Schoenen & Sportartikelen|154:Groothandel Mode-accessoires & Verzorgingsproducten|155:Groothandel Overige Huishoudelijke Producten|156:Groothandel Personenauto's|157:Groothandel Wooninterieurproducten|158:Onafhankelijke Benzinestations|159:Persoonlijke Dienstverlening|160:Reparatie & Installatie Personenauto's|161:Verhuur Persoonlijke & Huishoudelijke Producten;0:Please Choose|141:Retail Auto Parts|142:Retail Wide Assortment|143:Retail Electrical Equipment|144: Retail Apparel, Shoes & Sport|145:Retail Fashion Accessories & Care|146:Retail Other Household Products|147:Retail Cars|148:Retail Power & Stimulants|149:Retail Residential Interior Products|150:Wholesale Auto Parts|151:Wholesale Wide Assortment|152:Wholesale Domestic Appliances|153:Wholesale Clothing, Shoes & Sport|154:Wholesale Fashion Accessories & products|155:Wholesale and Other Household Products|156:Wholesale Cars|157:Wholesale Residential Interior Products|158:Independent Petrol Stations|159:Human Services|160:Repair & Installation Cars|161:Renting Personal & Household Goods;0:Maak keuze|141:Detailhandel Auto-onderdelen|142:Detailhandel Breed Assortiment|143:Detailhandel Elektrotechnische Apparaten|144:Detailhandel Kleding, Schoenen & Sportartikelen|145:Detailhandel Mode Accessoires & Verzorgingsproducten|146:Detailhandel Overige Huishoudelijke Producten|147:Detailhandel Personenauto's|148:Detailhandel Voedings & Genotmiddelen|149:Detailhandel Wooninterieurproducten|150:Groothandel Auto-onderdelen|151:Groothandel Breed Assortiment|152:Groothandel Huishoudelijke Apparaten|153:Groothandel Kleding, Schoenen & Sportartikelen|154:Groothandel Mode-accessoires & Verzorgingsproducten|155:Groothandel Overige Huishoudelijke Producten|156:Groothandel Personenauto's|157:Groothandel Wooninterieurproducten|158:Onafhankelijke Benzinestations|159:Persoonlijke Dienstverlening|160:Reparatie & Installatie Personenauto's|161:Verhuur Persoonlijke & Huishoudelijke Producten;
DEF;0:Maak keuze|162:Dienstverlening Internet|163:Dienstverlening IT|164:Draadgebonden Telecommunicatie|165:Drukkerijen|166:Groothandel Technologische Producten|167:Leasing Technologische Producten|168:Marketing Communicatie|169:Mobiele Telecommunicatie|170:Productie & Distributie Films & TV-programma's|171:Productie Computers & Randapparatuur|172:Productie Elektronische Producten In Loon|173:Productie Halfgeleiders|174:Productie Kantoorapparatuur|175:Productie Telecommunicatie-apparatuur|176:Radio, TV & Kabel|177:Uitgeven Computer Software|178:Uitgeven Geluidsopnamen|179:Uitgeverijen;0:Please Choose|162:Services Internet|163:Services IT|164:Wired Telecommunications|165:Printing|166:Wholesale Technology Products|167:Leasing Technology Products|168:Marketing Communications|169:Mobile Telecommunications|170:Manufacturing & distribution Movies & TV Shows|171:Production Computers & Peripherals|172:Manufacturing Electronic Products to Pay|173:Manufacturing Semiconductors|174:Production Office equipment|175:Manufacturing Telecommunications Equipment|176:Radio, TV & Cable|177:Publishing computer Software|178:Publishing Recordings|179:Publishers;0:Maak keuze|162:Dienstverlening Internet|163:Dienstverlening IT|164:Draadgebonden Telecommunicatie|165:Drukkerijen|166:Groothandel Technologische Producten|167:Leasing Technologische Producten|168:Marketing Communicatie|169:Mobiele Telecommunicatie|170:Productie & Distributie Films & TV-programma's|171:Productie Computers & Randapparatuur|172:Productie Elektronische Producten In Loon|173:Productie Halfgeleiders|174:Productie Kantoorapparatuur|175:Productie Telecommunicatie-apparatuur|176:Radio, TV & Kabel|177:Uitgeven Computer Software|178:Uitgeven Geluidsopnamen|179:Uitgeverijen;
DEF;0:Maak keuze|180:Binnenvaart|181:Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)|182:Dienstverlening Luchttransport|183:Dienstverlening Watertransport|184:Goederenvervoer Spoor|185:Post & Koeriers|186:Wegtransport|187:Zee- & Kustvaart;0:Please Choose|180:Inland|181:Storage in warehouses and other storage (not in tanks, cold stores etc.)|182:Services Air|183:Services Watertransport|184:Freight Rail|185:Post & Courier|186:Road transport|187:Marine & Coastal;0:Maak keuze|180:Binnenvaart|181:Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)|182:Dienstverlening Luchttransport|183:Dienstverlening Watertransport|184:Goederenvervoer Spoor|185:Post & Koeriers|186:Wegtransport|187:Zee- & Kustvaart;
DEF;0:Maak keuze|188:Afval- & Milieudienstverlening|189:Distributie & Transport Elektriciteit|190:Distributie Gas|191:Elektriciteit Geïntegreerd|192:Multi Nutsbedrijven|193:Productie Elektriciteit|194:Productie Nucleaire Brandstoffen|195:Winning & Distributie Water;0:Please Choose|188:Waste and Environmental Services|189:Distribution & Transportation Electricity|190:Distribution Gas|191:Electricity Integrated|192:Multi-Utilities|193:Production Electricity|194:Production of Nuclear Fuel|195:Water Collection & Distribution water;0:Maak keuze|188:Afval- & Milieudienstverlening|189:Distributie & Transport Elektriciteit|190:Distributie Gas|191:Elektriciteit Geïntegreerd|192:Multi Nutsbedrijven|193:Productie Elektriciteit|194:Productie Nucleaire Brandstoffen|195:Winning & Distributie Water;
DEF;0:Maak keuze|196:Contract Research|197:Dienstverlening Arbeid|198:Financiële Administratie|199:Organisatie Adviesbureaus|200:Overige Commerciële Dienstverlening|201:Rechtskundige Dienstverlening & Accountancy|202:Research & Ingenieurs;0:Please Choose|196:Contract Research|197:Service Labour|198:Financial Administration|199:Organizational Consultants|200:Other Business Services|201:Legal Services & Accountancy|202:Research & Engineering;0:Maak keuze|196:Contract Research|197:Dienstverlening Arbeid|198:Financiële Administratie|199:Organisatie Adviesbureaus|200:Overige Commerciële Dienstverlening|201:Rechtskundige Dienstverlening & Accountancy|202:Research & Ingenieurs;
DEF;0:Maak keuze|1:Akkerbouw|2:Fokken & Houden Overige Dieren|3:Fokken & Houden Runderen|4:Groothandel Landbouwproducten & Dieren|5:Tuinbouw|6:Veilingen Agrarisch|7:Visserij;0:Please Choose|1:Arable|2:Breeding and Keeping Other Animals|3:Breeding & Keeping Cattle|4:Agricultural Products Wholesale & Pets|5:Horticulture|6:Auctions Agricultural|7:Fisheries;0:Maak keuze|1:Akkerbouw|2:Fokken & Houden Overige Dieren|3:Fokken & Houden Runderen|4:Groothandel Landbouwproducten & Dieren|5:Tuinbouw|6:Veilingen Agrarisch|7:Visserij;
DEF;0:Maak keuze|8:Groothandel Bouwmaterialen|9:Onderaannemers|10:Productie Houtmaterialen|11:Productie Niet-Metaalhoudende Minerale Producten|12:Productie Overige Bouwmaterialen|13:Uitiliteits-, Grond-, Water- & Wegenbouw;0:Please Choose|8:Wholesale Building Materials|9:Subcontractors|10:Production Materials Wood|11:Production of Non-Metallic Mineral Products|12:Other Building Materials Production|13:Uitiliteits-, Soil, Water & Road Construction;0:Maak keuze|8:Groothandel Bouwmaterialen|9:Onderaannemers|10:Productie Houtmaterialen|11:Productie Niet-Metaalhoudende Minerale Producten|12:Productie Overige Bouwmaterialen|13:Uitiliteits-, Grond-, Water- & Wegenbouw;
DEF;0:Maak keuze|14:Beurzen|15:Commerciële Banken|16:Commerciële Financiering|17:Consumentenkrediet|18:Dealers & Makelaars Waardepapieren|19:Fondsen Met Beperkt Vreemd Vermogen|20:Fondsen Zonder Vreemd Vermogen|21:Gespecialiseerde Financiering|22:Hedgefondsen|23:Herverzekering|24:Investeringsfonds|25:Levensverzekering|26:Liefdadigheidsinstellingen & Uitkeringsfondsen|27:Makelaars Verzekeringen|28:Overige Fondsen|29:Pensioenfondsen|30:Schadeverzekering|31:Schuldbewijs Verzekering|32:Vermogensbeheer|33:Verstrekking Hypotheken|34:Verzekeringsconcerns|35:Zakenbank;0:Please Choose|14:Fairs|15:Commercial Banks|16:Commercial Funding|17:Consumer|18:Securities Dealers & Brokers|19:Restricted Funds With Debt|20:Funds Without Debt|21:Specialized Financiering|22:Hedgefondsen|23:Herverzekering|24:Investeringsfonds|25:Levensverzekering|26:Liefdadigheidsinstellingen & Benefit Funds|27:Agents Insurance|28:Other funds|29:Pension funds|30:Non-life|31:Debt Proof Insurance|32:Asset|33:Provision Mortgages|34:Insurance Concerns|35:Commercial Bank;0:Maak keuze|14:Beurzen|15:Commerciële Banken|16:Commerciële Financiering|17:Consumentenkrediet|18:Dealers & Makelaars Waardepapieren|19:Fondsen Met Beperkt Vreemd Vermogen|20:Fondsen Zonder Vreemd Vermogen|21:Gespecialiseerde Financiering|22:Hedgefondsen|23:Herverzekering|24:Investeringsfonds|25:Levensverzekering|26:Liefdadigheidsinstellingen & Uitkeringsfondsen|27:Makelaars Verzekeringen|28:Overige Fondsen|29:Pensioenfondsen|30:Schadeverzekering|31:Schuldbewijs Verzekering|32:Vermogensbeheer|33:Verstrekking Hypotheken|34:Verzekeringsconcerns|35:Zakenbank;
DEF;0:Maak keuze|37:Apotheken|38:Biotechnologie Geneesmiddelen|39:Groothandel Geneesmiddelen|40:Medische Praktijken|41:Productie & Groothandel Medische Apparatuur|42:Productie & Groothandel Medische Gebruiksartikelen|43:Productie Geneesmiddelen|44:Verpleging & Verzorging|45:Ziekenhuizen;0:Please Choose|37:Pharmacies|38:Biotechnology Medicines|39:Wholesale Drugs|40:Medical Practices|41:Manufacturing & Wholesale Medical Equipment|42:Manufacturing & Wholesale Medical Consumables|43:Production Medicines|44:Nursing and care|45:Hospitals;0:Maak keuze|37:Apotheken|38:Biotechnologie Geneesmiddelen|39:Groothandel Geneesmiddelen|40:Medische Praktijken|41:Productie & Groothandel Medische Apparatuur|42:Productie & Groothandel Medische Gebruiksartikelen|43:Productie Geneesmiddelen|44:Verpleging & Verzorging|45:Ziekenhuizen;
